dose,counts
0.010316138150051177,0.5561172102026176
0.010888080413942227,0.5659098005686988
0.014099011393745337,0.6283946718013895
0.015136417427479698,0.6379734270255311
0.015795150080929812,0.6568064204110204
0.02010762764464679,0.7208895803595997
0.021587147992569514,0.7301768508479103
0.02252661463622519,0.729327632383219
0.028767586421583512,0.8375450184598559
0.030787004962421302,0.8643903268496664
0.032493882968562086,0.8930193591931943
0.04161428969658678,1.0247299685584086
0.04453551732220476,1.0498091648660517
0.04669418408611686,1.0666388151153625
0.05133048533144633,1.1807418333712594
0.055107385265081306,1.2341269775298709
0.05916218970354578,1.3050244886970606
0.06351534687558855,1.3703929782215853
0.06818880959175444,1.4491186306429964
0.07320614595159533,1.521704775077389
0.07859265819672438,1.6053821683867677
0.08437551030908416,1.6857955310216923
0.09058386499790233,1.7743616633625074
0.09724903076615553,1.8589076943288585
0.10440461979819107,1.96112762082957
0.11208671746472919,2.0737895024102952
0.12033406430005225,2.2031550131093818
0.1291882513690856,2.3351493080467174
0.1386939300095991,2.4750515775897144
0.14889903700725127,2.623335600263372
0.1598550363390261,2.78050353936907
0.17161717870416388,2.9470876435587305
0.18424478015139356,3.109145761471085
0.1978015212075722,3.3107946912871395
0.21235576801622458,3.509149327415062
0.22798091710547613,3.7367411679800306
0.24475576552402792,3.979093863971444
0.26276490821175863,4.227314577420888
0.2820991646088749,4.480579283628506
0.3028560366549886,4.760083267316659
0.32514020048779024,5.092455996917868
0.3490640343209391,5.42273588107099
0.3747481851632349,5.787891796781977
0.4023221772370199,6.177636563158595
0.4319250651640407,6.624389709970785
0.46370613521275816,7.054025757355088
0.497825658143477,7.581782896142785
0.5344556974478588,8.09232461104116
0.5710715394482643,8.547256139326382
0.6159998129061166,9.240340648006082
0.6613251130169842,9.862566241286817
0.7099854512026973,10.526691230237248
0.7622262197482171,11.287958485853244
0.8183108669163249,12.13248342496859
0.8785222255074661,12.949459982937668
0.9431639391750997,13.853655796263617
1.012561993689403,14.820987066196512
1.0870663608714517,15.929840648125932
1.1670527634881611,17.08185183638662
1.2529245700083038,18.317173950801106
1.345114828774764,19.64183185509236
1.4440884518513124,21.013322415534866
1.5503445595569383,22.53295987205099
1.6644189975111567,24.218795852745046
1.7868870388836304,25.970246128039957
1.9183662854754855,27.719029254141873
2.049794572503384,29.34554801187511
2.21105936110558,31.725135612177233
2.3737492304941075,34.01942793949034
2.5484098294194553,36.47963846326179
2.7359219648192847,39.117766024087494
2.9372312534541627,41.84916334198707
3.153352890617906,44.98016902097791
3.3853767697298776,48.23303633500972
3.6344729786271874,51.841660704528934
3.9111429854190516,55.43999424839306
4.188999547647452,59.749837386117264
4.497226364739592,64.22010788223052
4.828132527984473,68.7042757745569
5.183386784919271,74.0165525319864
5.564780669616724,79.00067541946336
5.974237537325177,85.10907911225746
6.413822263877916,91.47663795343513
6.885751658785599,98.54969435595666
7.39240564452459,105.43092501411672
7.936339258397966,113.31889214652686
8.520295537494063,121.23138177811224
9.125596861440517,128.64415140490598
9.820272254676823,139.0757176312592
10.542848427247009,149.1333689452694
11.318591794333354,159.54660378326116
12.151414401032357,171.48331368656056
13.045516140933763,183.8846113724967
14.005405936028714,196.72435109578677
15.035924475036428,209.97136554430273
16.142268624818207,225.15603484919427
17.330017637984948,241.43882618277888
18.605161288861343,257.696821703215
19.974130079696423,274.0910392092302
21.443827669448353,294.94058180771026
23.021665688680983,315.53480269428314
24.71560111614278,337.5670146885069
26.534176405516146,360.2980853262422
28.486562564695056,386.35405378023745
30.582605404838855,411.41170223156564
32.83287519243349,440.13851703320483
35.24871995475404,470.87118116817925
37.84232270754687,499.0817742470965
40.626762893526674,532.6889176313084
43.61608234152263,569.8839118443484
46.82535607890142,609.6760458677306
50.27076835437216,652.2466649425864
53.96969425455429,697.7897767382883
57.94078732589633,743.0461180329094
62.20407364381995,794.9293000280437
66.78105280347808,840.5960020384546
71.69480634141738,893.0334027336175
76.97011413491256,953.1684410403874
82.63357936597166,1007.9255863125292
88.92396399638784,1067.483427191253
95.24132621706623,1148.2392083085545
102.24918823796517,1219.8677662769016
109.7726891317627,1295.9646007851022
117.84976963508477,1373.6077683001088
126.52116216604482,1455.9026535071798
135.83059623632047,1543.1279477345993
145.82501897746425,1635.5790391227902
156.55483189355024,1729.5389681271172
168.07414503409325,1816.17132705944
180.44104986902852,1911.5869733498623
193.71791224184238,2016.7036935139006
207.97168687821593,2132.5582816033616
223.27425503622817,2244.595854083173
239.7027870008793,2373.542277367107
257.3401312509853,2492.4326697221186
276.27523226098964,2617.278264783695
296.6035790446554,2761.200414696951
318.4276867026315,2892.768031708509
341.85761340231045,3023.5593986487743
367.01151539709235,3175.00905540938
394.01624288400313,3326.294117220504
423.00797970453925,3484.7877159295667
454.1329301147463,3650.8333289664324
487.54805608787046,3842.6360605655227
523.4218688677786,4035.113149882386
561.9352787649316,4237.231389005786
603.2825074803836,4439.129966744215
647.67206755863,4672.347201502496
695.3278139086613,4872.246128296617
746.490072695982,5104.4023344096495
801.4168532985678,5335.188816911053
860.3851494386209,5550.5129674374775
923.6923360516499,5774.52743641205
991.6576689372778,6007.582958457637
1064.6238947544216,6250.044423578915
1142.9589794800047,6517.4426110011245
1227.0579640477756,6764.718970836048
1317.344956525114,7070.573720150266
1414.2752708743128,7338.836263576739
1518.3377230840595,7688.522289153695
1630.057096250372,7998.82518330206
1749.9967870383246,8302.30624057202
1878.761646870605,8657.507178309008
2017.0010321708323,8985.979094069862
2165.4120790439983,9326.91346550317
2324.74321890804,9635.825422260408
2495.797952805774,9954.968694809362
2679.438903430948,10260.773248242614
2876.5921653025594,10600.61509985627
3088.251975025226,10977.231558069634
3315.4857251876356,11314.438785682432
3559.4393471838284,11634.893833873979
3821.3430901028596,12020.24723445802
4102.517724829416,12360.692658199841
4404.381204642492,12651.75134497795
4728.455815901354,12949.663624956043
5076.375854879309,13254.590880500868
5449.895869459297,13566.698294068865
5850.899507254011,13853.873657582306
6281.40901477108,14213.133864542046
6743.595435527339,14547.812202723262
7239.789558541045,14890.371251176768
7772.493672414542,15134.950804948583
8344.394184283196,15455.322416740772
8958.375167267131,15709.18149092519
9617.532904745216,16004.415911251017
10325.191504797665,16191.748476107081
11084.919663560057,16496.052139424395
11900.54866202581,16573.01748573421
12776.191687054623,16963.264281665055
13716.264574021534,16963.264281665055
14725.508075711246,17362.70026489178
15809.011769759198,17362.70026489178
16972.239725203024,17606.862467770694
18221.05805758074,17771.541814290624
19623.589290978212,17407.65862501307
21001.12022010253,17362.70026489178
22439.918054016212,17909.95058696392
24205.34796088336,18190.01040383672
25986.378795031036,18402.92547194075
27986.63079948395,17863.694968928903
29951.22804806153,17771.541814290624
31402.984408225486,17771.541814290624
39227.03520287986,18147.723908864395
42113.36261041926,18147.723908864395
43946.124373959465,18190.01040383672
56744.60077909424,18510.31575920349
60919.87162511925,18510.31575920349
63571.087401621335,18836.26132688458
